"","text","retweet_count","favorite_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","photo","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"11","I'm at Fairfield Park Condo Association in Beavercreek, OH https://t.co/Xoc8Q0DMde",0,0,FALSE,FALSE,"971564464951701505",NA,"<a href=""https://www.swarmapp.com"" rel=""nofollow"">Foursquare Swarm</a>",FALSE,"Thu Mar 08 01:53:13 +0000 2018",NA,NA,"en",4,FALSE,"Dayton, OH","2815903615",NA,TRUE,"Wed Sep 17 23:38:23 +0000 2014",25430,531,475,FALSE,NA,"MISHARI.","Pacific Time (US & Canada)","en",-28800,138,"alshatix",FALSE,"US","United States","city","Beavercreek, OH",NA,NA,39.727936,-84.047553,39.76953139,-84.06682634,"https://www.swarmapp.com/c/7xDjaSvVfev","https://t.co/Xoc8Q0DMde"
"12","Today @wkupbs let me film precious baby dinosaurs. I LOVE MY JOB <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>… https://t.co/3DMqdy2hOx",0,0,FALSE,FALSE,"971564468508512256",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:14 +0000 2018",NA,NA,"en",10,FALSE,"Kentucky","385752882",NA,TRUE,"Thu Oct 06 02:13:05 +0000 2011",21921,551,28537,FALSE,"http://www.facebook.com/profile.php?id=750705091","wolf o'donnell","Eastern Time (US & Canada)","en",-18000,1870,"coreyelam",FALSE,"US","United States","city","Bowling Green, KY",NA,NA,36.965671,-86.4355085,36.98539506,-86.45634591,"https://www.instagram.com/p/BgC2CNCgUUIhqO_ChcVa8qSttAoDkucoojVfKM0/","https://t.co/3DMqdy2hOx"
"13","#TOMORROW #repost mr_reez405 #REALSUPPORT MUCH LUV BRO #TheMomentOfTruth #concert #showcase… https://t.co/g9NQGrhiRB",0,0,FALSE,FALSE,"971564471822012417",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:15 +0000 2018",NA,NA,"en",48,FALSE,"OKC,OK","837741770","WHO DOES HE THINK HE IS?? ONLY 1 WAY 2 FIND OUT!! FOLLOW ME CLOSELY @DuceKdiggitty #SoundCloud #Instagram #facebook #Snapchat #Twitter",TRUE,"Fri Sep 21 12:59:11 +0000 2012",9308,572,427,FALSE,NA,"ducekdiggitty",NA,"en",NA,1113,"ducekdiggitty",FALSE,"US","United States","city","Oklahoma City, OK",NA,NA,35.4828435,-97.552161,35.40900799,-97.51876604,"https://www.instagram.com/p/Bfvk_m7hjHU/","https://t.co/g9NQGrhiRB"
"14","overcast clouds -&gt; snow
temperature down 28°F -&gt; 27°F
humidity up 58% -&gt; 73%
wind 11mph -&gt; 9mph",0,0,FALSE,FALSE,"971564473826738176",NA,"<a href=""http://twitter.com/USACities/cities"" rel=""nofollow"">Cities</a>",FALSE,"Thu Mar 08 01:53:16 +0000 2018",NA,NA,"en",13,FALSE,"Rockford, IL","128070458","Weather updates, forecast, warnings and information for Rockford, IL. Sources: http://OpenWeatherMap.org, NOAA, USGS.",TRUE,"Wed Mar 31 01:01:29 +0000 2010",30299,201,0,FALSE,NA,"Rockford Weather","Pacific Time (US & Canada)","en",-28800,13,"_RockfordIL",FALSE,"US","United States","city","Rockford, IL",NA,NA,42.2571455,-89.0175665,42.27,-89.08,NA,NA
"15","Ready to go back to Disney anytime now. Missing all the fun, adventures and mainly the warm… https://t.co/uKxuCWm2uf",0,0,FALSE,FALSE,"971564479451488256",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:17 +0000 2018",NA,NA,"en",25,FALSE,"Wisco","1602277849","just chillin' at this point.",TRUE,"Thu Jul 18 01:27:18 +0000 2013",77741,3461,20977,FALSE,NA,"Jess","Central Time (US & Canada)","en",-21600,1687,"LyfeOfJessie",FALSE,"US","United States","admin","Florida, USA",NA,NA,27.698682,-83.804475,28.37327625,-81.54972335,"https://www.instagram.com/p/BgC17vOh6SP/","https://t.co/uKxuCWm2uf"
"16","<ed><U+00A0><U+00BC><ed><U+00BE><U+00A8><ed><U+00A0><U+00BD><ed><U+00B1><U+00A8><U+200D><ed><U+00A0><U+00BC><ed><U+00BE><U+00A8> @ Madison, Wisconsin https://t.co/MuVqO7cNEx",0,0,FALSE,FALSE,"971564481154347008",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:17 +0000 2018",NA,NA,"en",7,FALSE,"earth","62636624","love life!",TRUE,"Mon Aug 03 22:13:31 +0000 2009",1952,51,265,FALSE,"http://www.nessalla.com","p*dub","Central Time (US & Canada)","en",-21600,195,"thebrokenwindow",FALSE,"US","United States","admin","Wisconsin, USA",NA,NA,44.900818,-89.5694915,43.07472222,-89.38444444,"https://www.instagram.com/p/BgC2Oerno2Y/","https://t.co/MuVqO7cNEx"
"17","MOTHER EAST'S NEW LIFE TEXT MINISTRY: @ Pilot Mountain, North Carolina https://t.co/xTTjMSZbqm",0,0,FALSE,FALSE,"971564482316111872",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:18 +0000 2018",NA,NA,"en",0,FALSE,"Pilot Mountain, NC ","2737329501","Graduate of JJJones High School, Mount Airy, NC, BS Degree, Winston Salem State University ; Active member of Lovells Chapel Church, Pilot Mountain, NC",TRUE,"Fri Aug 08 16:17:10 +0000 2014",1815,25,95,FALSE,NA,"Barbara Penn East",NA,"en",NA,23,"barbpenneast",FALSE,"US","United States","admin","North Carolina, USA",NA,NA,35.1704985,-79.861034,36.3844,-80.4691,"https://www.instagram.com/p/BgC2OvsjZyL/","https://t.co/xTTjMSZbqm"
"18","#yerbamate #boi #contemplatinglife #meditation #humpday #leatherboi #letsmodernizeourmethods @… https://t.co/8Ty3CFRaSK",0,0,FALSE,FALSE,"971564482236428288",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:18 +0000 2018",NA,NA,"und",1,FALSE,"Sacramento, CA","475546282",NA,TRUE,"Fri Jan 27 05:26:16 +0000 2012",1302,30,229,FALSE,NA,"Thomas",NA,"en",NA,124,"Eisnnil",FALSE,"US","United States","city","Oakland, CA",NA,NA,37.791994,-122.2286855,37.8044,-122.271,"https://www.instagram.com/p/BgC2O5_nfAs/","https://t.co/8Ty3CFRaSK"
"19","Cleared: Incident on #SawMillRiverParkway NB at Exit 34 - South Croton Avenue",0,0,FALSE,FALSE,"971564486439194624",NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",228,FALSE,"New York State","50706690","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 17:22:38 +0000 2009",2810448,1732,0,FALSE,"http://twitter.511ny.org","511 New York","Eastern Time (US & Canada)","en",-18000,202,"511NY",FALSE,"US","United States","city","Mount Kisco, NY",NA,NA,41.1997215,-73.730303,41.206401,-73.735198,NA,NA
"20","Updated: Incident on #Q1Bus Both directions at Springfield Boulevard : Jamaica Avenue https://t.co/sgXMWqbI17",0,0,FALSE,FALSE,"971564486430773250",NA,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",343,FALSE,"New York City","52272942","Traffic & transit updates for the New York City area provided by New York State 511. Visit the website for more feeds.",TRUE,"Tue Jun 30 02:23:15 +0000 2009",1148177,2450,0,FALSE,"http://twitter.511ny.org","511 NYC Area","Eastern Time (US & Canada)","en",-18000,5,"511NYC",FALSE,"US","United States","city","Queens, NY",NA,NA,40.6708795,-73.8311875,40.71846,-73.735343,"http://511ny.org/EventDetails/TRANSCOM/ORT28251607","https://t.co/sgXMWqbI17"
"21","Cleared: Incident on #SawMillRiverParkway NB at Exit 34 - South Croton Avenue",0,0,FALSE,FALSE,"971564486435004416",NA,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",84,FALSE,"Catskills","50728535","Traffic & transit updates for the Hudson Valley Catskill area provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 18:41:39 +0000 2009",494797,728,0,FALSE,"http://twitter.511ny.org/","511NYMidHudson","Eastern Time (US & Canada)","en",-18000,0,"511NYMidHudson",FALSE,"US","United States","city","Mount Kisco, NY",NA,NA,41.1997215,-73.730303,41.206401,-73.735198,NA,NA
"22","Incident on #NY35 Both directions at Smith Ridge Road; NY 123 https://t.co/0faIR3K4yb",0,0,FALSE,FALSE,"971564487298994176",NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",228,FALSE,"New York State","50706690","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 17:22:38 +0000 2009",2810449,1732,0,FALSE,"http://twitter.511ny.org","511 New York","Eastern Time (US & Canada)","en",-18000,202,"511NY",FALSE,"US","United States","city","Lewisboro, NY",NA,NA,41.2494445,-73.542988,41.264499,-73.529602,"http://511ny.org/EventDetails/TRANSCOM/ORI174618811","https://t.co/0faIR3K4yb"
"23","Updated: Incident on #Q27Bus at Springfield Boulevard : Jamaica Avenue https://t.co/sgXMWqbI17",0,0,FALSE,FALSE,"971564487231836160",NA,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",343,FALSE,"New York City","52272942","Traffic & transit updates for the New York City area provided by New York State 511. Visit the website for more feeds.",TRUE,"Tue Jun 30 02:23:15 +0000 2009",1148178,2450,0,FALSE,"http://twitter.511ny.org","511 NYC Area","Eastern Time (US & Canada)","en",-18000,5,"511NYC",FALSE,"US","United States","city","Queens, NY",NA,NA,40.6708795,-73.8311875,40.71846,-73.735343,"http://511ny.org/EventDetails/TRANSCOM/ORT28251607","https://t.co/sgXMWqbI17"
"24","Incident on #NY35 Both directions at Smith Ridge Road; NY 123 https://t.co/dP28IXogVW",0,0,FALSE,FALSE,"971564487571660800",NA,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",84,FALSE,"Catskills","50728535","Traffic & transit updates for the Hudson Valley Catskill area provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 18:41:39 +0000 2009",494798,728,0,FALSE,"http://twitter.511ny.org/","511NYMidHudson","Eastern Time (US & Canada)","en",-18000,0,"511NYMidHudson",FALSE,"US","United States","city","Lewisboro, NY",NA,NA,41.2494445,-73.542988,41.264499,-73.529602,"http://511ny.org/EventDetails/TRANSCOM/ORI174618811","https://t.co/dP28IXogVW"
"25","Incident on #S44Bus Both directions at Cary Avenue : Elizabeth Street https://t.co/SLOXFhYcv8",0,0,FALSE,FALSE,"971564488133574656",NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",228,FALSE,"New York State","50706690","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 17:22:38 +0000 2009",2810450,1732,0,FALSE,"http://twitter.511ny.org","511 New York","Eastern Time (US & Canada)","en",-18000,202,"511NY",FALSE,"US","United States","city","Staten Island, NY",NA,NA,40.572376,-74.153947,40.632236,-74.120407,"http://511ny.org/EventDetails/TRANSCOM/ORT28263407","https://t.co/SLOXFhYcv8"
"26","Updated: Incident on #Q36Bus at Springfield Boulevard : Jamaica Avenue https://t.co/sgXMWqbI17",0,0,FALSE,FALSE,"971564488142016512",NA,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",343,FALSE,"New York City","52272942","Traffic & transit updates for the New York City area provided by New York State 511. Visit the website for more feeds.",TRUE,"Tue Jun 30 02:23:15 +0000 2009",1148179,2450,0,FALSE,"http://twitter.511ny.org","511 NYC Area","Eastern Time (US & Canada)","en",-18000,5,"511NYC",FALSE,"US","United States","city","Queens, NY",NA,NA,40.6708795,-73.8311875,40.71846,-73.735343,"http://511ny.org/EventDetails/TRANSCOM/ORT28251607","https://t.co/sgXMWqbI17"
"27","Irvine: 5:53pm: sunset",0,0,FALSE,FALSE,"971564488947200000",NA,"<a href=""http://twitter.com/USACities/cities"" rel=""nofollow"">Cities</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",25,FALSE,"Irvine, CA","148972088","Weather updates, forecast, warnings and information for Irvine, CA. Sources: http://OpenWeatherMap.org, NOAA, USGS.",TRUE,"Fri May 28 02:41:39 +0000 2010",28657,133,0,FALSE,NA,"Irvine Weather","Pacific Time (US & Canada)","en",-28800,2,"_IrvineCA",FALSE,"US","United States","city","Irvine, CA",NA,NA,33.689732,-117.7823605,33.69,-117.83,NA,NA
"28","Incident on #HudsonLine Both directions from Grand Central Terminal to Poughkeepsie Station https://t.co/90CudCJ4N6",0,0,FALSE,FALSE,"971564488968364033",NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",228,FALSE,"New York State","50706690","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 17:22:38 +0000 2009",2810451,1732,0,FALSE,"http://twitter.511ny.org","511 New York","Eastern Time (US & Canada)","en",-18000,202,"511NY",FALSE,"US","United States","city","Manhattan, NY",NA,NA,40.780709,-73.9685415,40.752128,-73.977813,"http://511ny.org/EventDetails/TRANSCOM/ORT28263507","https://t.co/90CudCJ4N6"
"29","Updated: Incident on #Q88Bus at Springfield Boulevard : Jamaica Avenue https://t.co/sgXMWqbI17",0,0,FALSE,FALSE,"971564488905383937",NA,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",343,FALSE,"New York City","52272942","Traffic & transit updates for the New York City area provided by New York State 511. Visit the website for more feeds.",TRUE,"Tue Jun 30 02:23:15 +0000 2009",1148180,2450,0,FALSE,"http://twitter.511ny.org","511 NYC Area","Eastern Time (US & Canada)","en",-18000,5,"511NYC",FALSE,"US","United States","city","Queens, NY",NA,NA,40.6708795,-73.8311875,40.71846,-73.735343,"http://511ny.org/EventDetails/TRANSCOM/ORT28251607","https://t.co/sgXMWqbI17"
"30","Updated: Incident on #Q1Bus Both directions at Springfield Boulevard : Jamaica Avenue https://t.co/mFdHbWCsFG",0,0,FALSE,FALSE,"971564489748475904",NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",228,FALSE,"New York State","50706690","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 17:22:38 +0000 2009",2810452,1732,0,FALSE,"http://twitter.511ny.org","511 New York","Eastern Time (US & Canada)","en",-18000,202,"511NY",FALSE,"US","United States","city","Queens, NY",NA,NA,40.6708795,-73.8311875,40.71846,-73.735343,"http://511ny.org/EventDetails/TRANSCOM/ORT28251607","https://t.co/mFdHbWCsFG"
"31","Incident on #S44Bus Both directions at Cary Avenue : Elizabeth Street https://t.co/hoIYLRfp71",0,0,FALSE,FALSE,"971564489773649921",NA,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",343,FALSE,"New York City","52272942","Traffic & transit updates for the New York City area provided by New York State 511. Visit the website for more feeds.",TRUE,"Tue Jun 30 02:23:15 +0000 2009",1148181,2450,0,FALSE,"http://twitter.511ny.org","511 NYC Area","Eastern Time (US & Canada)","en",-18000,5,"511NYC",FALSE,"US","United States","city","Staten Island, NY",NA,NA,40.572376,-74.153947,40.632236,-74.120407,"http://511ny.org/EventDetails/TRANSCOM/ORT28263407","https://t.co/hoIYLRfp71"
"32","Updated: Incident on #Q27Bus at Springfield Boulevard : Jamaica Avenue https://t.co/mFdHbWCsFG",0,0,FALSE,FALSE,"971564490465710080",NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>",FALSE,"Thu Mar 08 01:53:19 +0000 2018",NA,NA,"en",228,FALSE,"New York State","50706690","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 17:22:38 +0000 2009",2810453,1732,0,FALSE,"http://twitter.511ny.org","511 New York","Eastern Time (US & Canada)","en",-18000,202,"511NY",FALSE,"US","United States","city","Queens, NY",NA,NA,40.6708795,-73.8311875,40.71846,-73.735343,"http://511ny.org/EventDetails/TRANSCOM/ORT28251607","https://t.co/mFdHbWCsFG"
"33","Incident on #HudsonLine Both directions from Grand Central Terminal to Poughkeepsie Station https://t.co/hbCmWupmE1",0,0,FALSE,FALSE,"971564490633502721",NA,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",FALSE,"Thu Mar 08 01:53:20 +0000 2018",NA,NA,"en",343,FALSE,"New York City","52272942","Traffic & transit updates for the New York City area provided by New York State 511. Visit the website for more feeds.",TRUE,"Tue Jun 30 02:23:15 +0000 2009",1148182,2450,0,FALSE,"http://twitter.511ny.org","511 NYC Area","Eastern Time (US & Canada)","en",-18000,5,"511NYC",FALSE,"US","United States","city","Manhattan, NY",NA,NA,40.780709,-73.9685415,40.752128,-73.977813,"http://511ny.org/EventDetails/TRANSCOM/ORT28263507","https://t.co/hbCmWupmE1"
"34","I love snow days. Even better, I love fresh city snow. Now, when the snow gets all mushy and… https://t.co/hAW9W6Xmed",0,0,FALSE,FALSE,"971564490876735488",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Thu Mar 08 01:53:20 +0000 2018",NA,NA,"en",326,FALSE,"North Jersey, NJ","12322812","A former mag. editor turned freelance writer & blogger, I'm a green-living, pop culture-loving mom that loves the good things in life. Loves tech & too much tv",TRUE,"Wed Jan 16 16:21:33 +0000 2008",22252,7913,2229,FALSE,"http://nextkidthing.com","Jen Rabulan-Bertram","Central Time (US & Canada)","en",-21600,4369,"jenrab",FALSE,"US","United States","city","Manhattan, NY",NA,NA,40.780709,-73.9685415,40.7499131,-73.9719497,"https://www.instagram.com/p/BgC2PHCnapm/","https://t.co/hAW9W6Xmed"
"35","Updated: Incident on #Q36Bus at Springfield Boulevard : Jamaica Avenue https://t.co/mFdHbWCsFG",0,0,FALSE,FALSE,"971564492634062854",NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>",FALSE,"Thu Mar 08 01:53:20 +0000 2018",NA,NA,"en",228,FALSE,"New York State","50706690","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.",TRUE,"Thu Jun 25 17:22:38 +0000 2009",2810454,1732,0,FALSE,"http://twitter.511ny.org","511 New York","Eastern Time (US & Canada)","en",-18000,202,"511NY",FALSE,"US","United States","city","Queens, NY",NA,NA,40.6708795,-73.8311875,40.71846,-73.735343,"http://511ny.org/EventDetails/TRANSCOM/ORT28251607","https://t.co/mFdHbWCsFG"
